"","patent_number","citation_count"
"355","8280474",0
"356","8080540",0
"357","8974479",0
"358","8974475",0
"359","8388678",0
"360","8714429",0
"361","7089049",0
"362","D711543",0
"363","8388673",0
"364","8388677",0
"365","8388676",0
"366","8591950",0
"367","8906001",0
"368","8906007",0
"369","8333765",0
"370","8906008",0
"371","8333766",0
"372","7829570",0
"373","8152716",0
"374","8715339",0
"375","8715336",0
"376","8715334",0
"377","8900256",0
"378","8715332",0
"379","8715333",0
"380","8900253",0
"381","8715331",0
"382","8674288",0
"383","8355786",0
"384","8979744",0
"385","7458798",0
"386","7151914",0
"387","8260432",0
"388","7575584",0
"389","8721564",0
"390","8571680",0
"391","7743727",0
"392","7767726",0
"393","8067613",0
"394","8163146",0
"395","8926681",0
"396","8913804",0
"397","8556947",0
"398","8556944",0
"399","8887148",0
"400","7524445",0
"401","8954162",0
"402","8954163",0
"403","8954160",0
"404","7896813",0
"405","7601730",0
"406","7756581",0
"407","8840639",0
"408","7758633",0
"409","8390455",0
"410","7758631",0
"411","8480683",0
"412","7758634",0
"413","7587241",0
"414","7587242",0
"415","8453598",0
"416","8628544",0
"417","8628545",0
"418","8628543",0
"419","7962223",0
"420","7962222",0
"421","7601149",0
"422","8798704",0
"423","8798706",0
"424","7871436",0
"425","8798702",0
"426","7871432",0
"427","8512332",0
"428","8798708",0
"429","8709071",0
"430","8709072",0
"431","8512336",0
"432","7557317",0
"433","8303624",0
"434","7651493",0
"435","7994149",0
"436","7672733",0
"437","8696601",0
"438","6866677",0
"439","7648517",0
"440","8540759",0
"441","8585591",0
"442","8660635",0
"443","8425521",0
"444","7137956",0
"445","7839146",0
"446","8425529",0
"447","7070558",0
"448","7628806",0
"449","6868291",0
"450","D699576",0
"451","D622374",0
"452","8562670",0
"453","7767705",0
"454","7858752",0
"455","7706861",0
"456","7706860",0
"457","8696743",0
"458","8911669",0
"459","7526339",0
"460","8812107",0
"461","8165656",0
"462","8932282",0
"463","7526335",0
"464","7850645",0
"465","8830693",0
"466","7552853",0
"467","7341564",0
"468","7345607",0
"469","8055360",0
"470","8728119",0
"471","7727228",0
"472","7490982",0
"473","8920337",0
"474","8920338",0
"475","7566297",0
"476","8448641",0
"477","RE40122",0
"478","7507208",0
"479","7758605",0
"480","8603116",0
"481","8506508",0
"482","8380126",0
"483","8506507",0
"484","8814884",0
"485","7785316",0
"486","7744585",0
"487","7744586",0
"488","7744587",0
"489","8968285",0
"490","7744583",0
"491","8968288",0
"492","8968289",0
"493","8747398",0
"494","7744589",0
"495","7785318",0
"496","8771306",0
"497","7885788",0
"498","8226586",0
"499","8635752",0
"500","8632529",0
"501","7477763",0
"502","8632522",0
"503","7634316",0
"504","8663219",0
"505","7704248",0
"506","7483732",0
"507","7320986",0
"508","8663212",0
"509","8663211",0
"510","8019420",36
"511","6844023",0
"512","8118803",0
"513","8663214",0
"514","8617184",0
"515","8449843",0
"516","7697987",0
"517","7697985",0
"518","7697984",0
"519","7697988",0
"520","7332178",0
"521","8224459",0
"522","7822557",0
"523","8396276",0
"524","8224451",0
"525","8162816",0
"526","7066915",0
"527","7066910",0
"528","8241572",0
"529","8226635",0
"530","7254425",0
"531","7763731",0
"532","8172884",0
"533","8827997",0
"534","8827994",0
"535","8068901",0
"536","8764707",0
"537","8827998",0
"538","8827999",0
"539","7320676",0
"540","8133199",1
"541","8617234",0
"542","8956326",0
"543","8617231",0
"544","8788059",0
"545","8555887",0
"546","8555882",0
"547","7329239",0
"548","8555881",0
"549","7530738",0
"550","8778687",0
"551","8788054",0
"552","8788056",0
"553","7549994",0
"554","7765670",0
"555","7549992",0
"556","7752050",0
"557","8641659",0
"558","7658879",0
"559","6876880",0
"560","6876885",0
"561","D613190",0
"562","7700033",0
"563","7651513",0
"564","8406883",0
"565","7651514",0
"566","7058453",0
"567","7058450",0
"568","8518060",0
"569","8465447",0
"570","7877144",0
"571","8465442",0
"572","8864010",0
"573","8878434",0
"574","7674250",0
"575","8591568",0
"576","7674252",0
"577","8738121",0
"578","7674256",0
"579","8138318",0
"580","8808353",0
"581","7118567",0
"582","7118566",0
"583","8591565",0
"584","8591566",0
"585","8357090",0
"586","8758799",0
"587","8758798",0
"588","7538105",0
"589","8414656",0
"590","7077808",0
"591","8694076",0
"592","8257777",0
"593","7604621",0
"594","8399584",0
"595","8398679",0
"596","7557078",0
"597","7212133",1
"598","7072725",0
"599","7771454",0
"600","7771450",0
"601","7771451",0
"602","8845718",0
"603","7005097",13
"604","7610083",0
"605","7610088",0
"606","6942880",0
"607","8162950",0
"608","8788236",0
"609","7465270",0
"610","8738151",0
"611","8886311",0
"612","7348097",0
"613","8349843",0
"614","7485109",0
"615","8886315",0
"616","8886314",0
"617","7804604",0
"618","8821923",0
"619","7426037",0
"620","8765715",0
"621","7621894",0
"622","7621895",0
"623","8655456",0
"624","8655457",0
"625","8866419",0
"626","7621893",0
"627","7422905",0
"628","7101394",0
"629","8129389",0
"630","7621898",0
"631","8052736",0
"632","8052737",0
"633","7289855",0
"634","8052732",0
"635","8500733",0
"636","8377499",0
"637","8100905",0
"638","8377496",0
"639","8100901",0
"640","8710059",1
"641","8052738",0
"642","8100902",0
"643","8083716",0
"644","8083714",0
"645","8211632",0
"646","7289851",0
"647","8118829",0
"648","8083718",0
"649","7931899",0
"650","7371248",0
"651","7004900",26
"652","8644955",0
"653","8644954",0
"654","7793450",0
"655","8574390",0
"656","7647687",0
"657","7318831",0
"658","7318835",0
"659","7318837",0
"660","7318836",0
"661","7474521",0
"662","7553315",0
"663","8927047",0
"664","8983606",0
"665","7691050",0
"666","8648040",0
"667","8558880",0
"668","8202242",0
"669","8202245",0
"670","8202870",0
"671","8983608",0
"672","8496697",0
"673","7282030",0
"674","8496698",0
"675","8114270",0
"676","8114271",0
"677","7783350",0
"678","7544218",0
"679","8298388",0
"680","8685039",0
"681","7590451",0
"682","7590450",0
"683","7590453",0
"684","8685034",0
"685","7590455",0
"686","7590454",0
"687","7909844",0
"688","7556842",0
"689","7758551",0
"690","7824369",0
"691","7909842",0
"692","8349330",0
"693","7783354",0
"694","7922758",0
"695","8202878",0
"696","7749263",0
"697","7341716",0
"698","7892248",0
"699","8684920",0
"700","8007448",28
"701","8449476",0
"702","8670838",0
"703","7731707",0
"704","8885154",0
"705","8885155",0
"706","7758909",0
"707","7901407",0
"708","7901400",1
"709","7759397",0
"710","7737159",0
"711","7857812",0
"712","7056282",0
"713","6887244",0
"714","7206642",0
"715","D699110",0
"716","7857819",0
"717","8602965",0
"718","7754047",0
"719","8579960",0
"720","8071762",0
"721","8155752",0
"722","8962062",0
"723","7951072",0
"724","8672934",0
"725","8670830",0
"726","7686809",0
"727","8904619",0
"728","8177730",0
"729","7231829",0
"730","8454653",0
"731","8469968",0
"732","8424553",0
"733","8454656",0
"734","8790488",0
"735","7001379",94
"736","8889170",0
"737","8757219",0
"738","7957812",0
"739","7957814",0
"740","7875639",0
"741","8268349",0
"742","8248414",0
"743","8672933",0
"744","8706202",0
"745","8248413",0
"746","7881770",0
"747","7025743",16
"748","8684254",0
"749","8337401",0
"750","7025748",21
"751","8684250",0
"752","7244263",0
"753","8684252",0
"754","8086293",0
"755","6925331",0
"756","7311705",0
"757","7736392",0
"758","7959715",0
"759","7623930",0
"760","8838254",0
"761","7010850",12
"762","8838251",0
"763","8121721",1
"764","8374666",0
"765","7306555",0
"766","8123762",0
"767","7699854",0
"768","8725244",0
"769","8548564",0
"770","7309461",0
"771","8916290",0
"772","8386048",0
"773","8252008",0
"774","8551138",0
"775","8897850",0
"776","7611455",0
"777","8829129",0
"778","8551137",0
"779","7203541",0
"780","8418362",0
"781","7203549",0
"782","8057466",0
"783","7832251",0
"784","8336754",0
"785","8336753",0
"786","8336752",0
"787","8336751",0
"788","8925177",0
"789","8752261",0
"790","8752265",0
"791","8752264",0
"792","8752267",0
"793","7794458",0
"794","7794457",0
"795","8752268",0
"796","7794455",0
"797","7794454",0
"798","8048042",0
"799","7922684",0
"800","8071145",0
"801","8025660",59
"802","8394400",0
"803","7063684",0
"804","7797814",0
"805","8864778",0
"806","6948592",0
"807","8974418",0
"808","8388612",0
"809","8127422",0
"810","7766869",0
"811","8767910",0
"812","7163618",0
"813","7766864",0
"814","7766862",0
"815","8910846",0
"816","6986774",0
"817","6986778",0
"818","7092765",0
"819","8308043",0
